timestamp,cmd_v,cmd_w
1739998154048072821,0.0,0.0
1739998154048120682,1.0,0.0
1739998154072761083,0.0,0.0
1739998154072783952,1.0,0.0
1739998154113928224,0.0,0.0
1739998154113945325,1.0,0.0
1739998154136630565,0.0,0.0
1739998154136683730,1.0,0.0
1739998154162506741,0.0,0.0
1739998154162536285,1.0,0.0
1739998154196183083,0.0,0.0
1739998154196234556,1.0,0.0
1739998154224099931,0.0,0.0
1739998154224128165,1.0,0.0
1739998154260870317,0.0,0.0
1739998154260898857,1.0,0.0
1739998154285642457,0.0,0.0
1739998154285695642,1.0,0.0
1739998154314279694,0.0,0.0
1739998154314301980,1.0,0.0
1739998154346699242,0.0,0.0
1739998154346818390,1.0,0.0
1739998154373222703,0.0,0.0
1739998154373251601,1.0,0.0
1739998154408479927,0.0,0.0
1739998154408535002,1.0,0.0
1739998154435204973,0.0,0.0
1739998154435243554,1.0,0.0
1739998154471292818,0.0,0.0
1739998154471326059,1.0,0.0
1739998154495692196,0.0,0.0
1739998154495722922,1.0,0.0
1739998154525867136,0.0,0.0
1739998154525896065,1.0,0.0
1739998154558099099,0.0,0.0
1739998154558140253,1.0,0.0
1739998154592087440,0.0,0.0
1739998154592143890,1.0,0.0
1739998154617630920,0.0,0.0
1739998154617662878,1.0,0.0
1739998154649285527,0.0,0.0
1739998154649324184,1.0,0.0
1739998154677515439,0.0,0.0
1739998154677563161,1.0,0.0
1739998154712502776,0.0,0.0
1739998154712536436,1.0,0.0
1739998154746386128,0.0,0.0
1739998154746432558,1.0,0.0
1739998154773047738,0.0,0.0
1739998154773079188,1.0,0.0
1739998154798841284,0.0,0.0
1739998154798869263,1.0,0.0
1739998154832553329,0.0,0.0
1739998154832584408,1.0,0.0
1739998154858682682,0.0,0.0
1739998154858718210,1.0,0.0
1739998154892803352,0.0,0.0
1739998154892833912,1.0,0.0
1739998154918554643,0.0,0.0
1739998154918587804,1.0,0.0
1739998154956264884,0.0,0.0
1739998154956810313,1.0,0.0
1739998154979020587,0.0,0.0
1739998154979052628,1.0,0.0
1739998155013855819,0.0,0.0
1739998155013910669,1.0,0.0
1739998155048030866,0.0,0.0
1739998155048065630,1.0,0.0
1739998155070278040,0.0,0.0
1739998155070307402,1.0,0.0
1739998155101075793,0.0,0.0
1739998155101098118,1.0,0.0
1739998155136660371,0.0,0.0
1739998155136694434,1.0,0.0
1739998155162678371,0.0,0.0
1739998155162707574,1.0,0.0
1739998155192373095,0.0,0.0
1739998155192407892,1.0,0.0
1739998155222579022,0.0,0.0
1739998155222615119,1.0,0.0
1739998155253409092,0.0,0.0
1739998155253450782,1.0,0.0
1739998155288854456,0.0,0.0
1739998155288902187,1.0,0.0
1739998155316767864,0.0,0.0
1739998155316798794,1.0,0.0
1739998155350619683,0.0,0.0
1739998155350659676,1.0,0.0
1739998155378458402,0.0,0.0
1739998155378489367,1.0,0.0
1739998155404293632,0.0,0.0
1739998155404321772,1.0,0.0
1739998155437826767,0.0,0.0
1739998155437860188,1.0,0.0
1739998155466225025,0.0,0.0
1739998155466254372,1.0,0.0
1739998155498845638,0.0,0.0
1739998155498880416,1.0,0.0
1739998155531777147,0.0,0.0
1739998155531812335,1.0,0.0
1739998155566523948,0.0,0.0
1739998155566575379,1.0,0.0
1739998155587085259,0.0,0.0
1739998155587121547,1.0,0.0
1739998155617301630,0.0,0.0
1739998155617360251,1.0,0.0
1739998155647596802,0.0,0.0
1739998155647620810,1.0,0.0
1739998155677690346,0.0,0.0
1739998155677716774,1.0,0.0
1739998155707418575,0.0,0.0
1739998155707448394,1.0,0.0
1739998155744201785,0.0,0.0
1739998155744238967,1.0,0.0
1739998155773877279,0.0,0.0
1739998155773949456,1.0,0.0
1739998155798393661,0.0,0.0
1739998155798427356,1.0,0.0
1739998155832431024,0.0,0.0
1739998155832493015,1.0,0.0
1739998155859270833,0.0,0.0
1739998155859302984,1.0,0.0
1739998155888596046,0.0,0.0
1739998155888633673,1.0,0.0
1739998155924537496,0.0,0.0
1739998155924569664,1.0,0.0
1739998155956866971,0.0,0.0
1739998155956917481,1.0,0.0
1739998155985341285,0.0,0.0
1739998155985383449,1.0,0.0
1739998156009984472,0.0,0.0
1739998156010016906,1.0,0.0
1739998156043039413,0.0,0.0
1739998156043079449,1.0,0.0
1739998156069865124,0.0,0.0
1739998156069921722,1.0,0.0
1739998156103783006,0.0,0.0
1739998156103830016,1.0,0.0
1739998156129687860,0.0,0.0
1739998156129766734,1.0,0.0
1739998156159804708,0.0,0.0
1739998156159834845,1.0,0.0
1739998156191558978,0.0,0.0
1739998156191590599,1.0,0.0
1739998156228651937,0.0,0.0
1739998156228681694,1.0,0.0
1739998156256428867,0.0,0.0
1739998156256458312,1.0,0.0
1739998156285333403,0.0,0.0
1739998156285369815,1.0,0.0
1739998156310331938,0.0,0.0
1739998156310366659,1.0,0.0
1739998156347085663,0.0,0.0
1739998156347125228,1.0,0.0
1739998156370693481,0.0,0.0
1739998156370723599,1.0,0.0
1739998156400378533,0.0,0.0
1739998156400407288,1.0,0.0
1739998156439396395,0.0,0.0
1739998156439452867,1.0,0.0
1739998156460968883,0.0,0.0
1739998156461000473,1.0,0.0
1739998156496770582,0.0,0.0
1739998156496799039,1.0,0.0
1739998156522199076,0.0,0.0
1739998156522234352,1.0,0.0
1739998156559896273,0.0,0.0
1739998156559930434,1.0,0.0
1739998156582786807,0.0,0.0
1739998156582851138,1.0,0.0
1739998156614112327,0.0,0.0
1739998156614135109,1.0,0.0
1739998156646963087,0.0,0.0
1739998156646993770,1.0,0.0
1739998156672371042,0.0,0.0
1739998156672392811,1.0,0.0
1739998156702342841,0.0,0.0
