local_goals_x,local_goals_y
-3.029208122774749,-1.887439273775874
-3.102731156280252,-1.9570488065035356
-3.1837294843049566,-2.0136240158011
-3.261003554616406,-2.08180813444191
-3.3434315654103584,-2.1367038733530115
-3.424193926319832,-2.1944101974682018
-3.5063242129917054,-2.2500013744908
-3.597211614317696,-2.29006135432299
-3.691456428545776,-2.331657394141167
-3.787135984387153,-2.354884306506801
-3.883678523696324,-2.3431108081697287
-3.984131426422382,-2.3557460828396093
-4.07535454511269,-2.3939642493805486
-4.1681858177525335,-2.368747766711601
-4.262413277717663,-2.331021187949706
-4.334736546878765,-2.266397038037652
-4.382748076421086,-2.179706449111197
-4.374283974401125,-2.080436912505383
-4.358800423418925,-1.981546084370024
-4.301478842502451,-1.9049150334556173
-4.216216833025363,-1.850833548184712
-4.127013018354516,-1.813603373466615
-4.115984766579261,-1.7208334268057088
-4.142844359153551,-1.6264724811544815
-4.145201049599573,-1.5247267962722837
-4.17560839708203,-1.4311729131584554
-4.179032068244696,-1.3364367080895956
-4.146110412261916,-1.241158281097327
